word,word_count,rank
open,123,352.0
contracts,123,352.0
authorization,123,352.0
lieutenants,122,358.0
sergeants,122,358.0
allow,122,358.0
december,121,361.0
related,121,361.0
billion,121,361.0
aala,120,364.0
benefits,120,364.0
subject,120,364.0
f,120,364.0
plans,119,368.0
single,119,368.0
limited,119,368.0
nick,119,368.0
taken,119,368.0
engagement,119,368.0
social,119,368.0
aye,118,375.0
transportation,118,375.0
measure,118,375.0
kelly,118,375.0
promote,118,375.0
strategy,118,375.0
next,118,375.0
led,117,382.0
efforts,117,382.0
working,117,382.0
bargaining,117,382.0
three,117,382.0
necessary,116,387.0
comprehensive,116,387.0
classroom,116,387.0
retirement,116,387.0
goals,116,387.0
revised,115,392.0
maximum,115,392.0
partners,114,394.0
options,114,394.0
skills,114,394.0
magnet,114,394.0
per,113,398.0
sites,113,398.0
adoption,113,398.0
property,112,401.0
intention,112,401.0
awareness,112,401.0
study,111,404.0
bennett,111,404.0
held,111,404.0
asked,111,404.0
superintendents,110,408.0
committed,110,408.0
status,110,408.0
secondary,109,411.0
introduced,109,411.0
sections,109,411.0
centers,109,411.0
advisory,109,411.0
potential,108,416.0
iii,108,416.0
disciplinedismissalrelease,107,418.0
resumed,106,419.0
create,106,419.0
reduction,106,419.0
costs,106,419.0
pledge,105,423.0
prior,105,423.0
people,105,423.0
relations,105,423.0
best,105,423.0
supporting,105,423.0
rear,104,429.0
help,104,429.0
child,104,429.0
meet,104,429.0
notice,104,429.0
adjournment,104,429.0
place,104,429.0
healthy,104,429.0
five,103,437.0
focus,103,437.0
result,103,437.0
later,103,437.0
independent,103,437.0
better,103,437.0
studies,103,437.0
correspondence,102,444.0
levels,102,444.0
allegiance,102,444.0
rights,101,447.0
required,101,447.0
effective,101,447.0
approve,101,447.0
constitutes,100,451.0
initiation,100,451.0
directly,100,451.0
denied,100,451.0
back,99,455.0
planning,99,455.0
representative,99,455.0
commitment,99,455.0
reilly,98,459.0
addition,98,459.0
care,98,459.0
yolie,98,459.0
requirements,98,459.0
continued,98,459.0
assessment,98,459.0
recorded,98,459.0
learners,98,459.0
proposals,98,459.0
history,97,469.0
improvement,97,469.0
______________________________________,97,469.0
progress,97,469.0
full,96,473.0
grant,96,473.0
res,95,475.0
participation,95,475.0
revenue,95,475.0
passed,94,478.0
approximately,94,478.0
specific,94,478.0
math,94,478.0
conditional,94,478.0
hearings,94,478.0
guidelines,93,484.0
grades,93,484.0
graduation,93,484.0
area,92,487.0
jobs,92,487.0
prevention,92,487.0
workers,92,487.0
involvement,92,487.0
intervention,92,487.0
nation,92,487.0
educators,91,494.0
continue,91,494.0
dedicate,91,494.0
inc,91,494.0
science,91,494.0
procedures,91,494.0
increasing,91,494.0
environmental,91,494.0
tax,91,494.0
certificated,91,494.0
least,90,504.0
presentation,90,504.0
dispositions,90,504.0
group,90,504.0
water,89,508.0
expressed,89,508.0
human,89,508.0
chair,89,508.0
operations,89,508.0
experience,89,508.0
class,88,514.0
money,88,514.0
areas,88,514.0
la,88,514.0
postponed,88,514.0
goal,88,514.0
park,88,514.0
food,88,514.0
initiative,88,514.0
king,88,514.0
numerical,87,524.0
across,87,524.0
start,87,524.0
team,87,524.0
throughout,87,524.0
strategies,87,524.0
pillar,87,524.0
environment,87,524.0
abuse,87,524.0
us,86,533.0
ref,86,533.0
take,86,533.0
affiliated,86,533.0
commission,86,533.0
congress,86,533.0
making,86,533.0
presented,85,540.0
violence,85,540.0
four,85,540.0
senior,85,540.0
without,85,540.0
bs,85,540.0
control,85,540.0
pull,85,540.0
previous,84,548.0
slots,84,548.0
reductions,84,548.0
expulsion,84,548.0
contributions,84,548.0
appropriate,84,548.0
issues,83,554.0
read,83,554.0
michelle,83,554.0
street,83,554.0
part,83,554.0
reform,83,554.0
material,83,554.0
announcement,83,554.0
improve,82,562.0
maria,82,562.0
successful,82,562.0
receive,82,562.0
preparatory,82,562.0
needed,81,567.0
small,81,567.0
foundation,81,567.0
e,81,567.0
alliance,80,571.0
easement,80,571.0
used,80,571.0
positive,80,571.0
puc,79,575.0
period,79,575.0
alternative,79,575.0
waiver,79,575.0
implement,79,575.0
interest,78,580.0
second,78,580.0
st,78,580.0
identified,78,580.0
vice,78,580.0
beutner,78,580.0
teaching,78,580.0
critical,78,580.0
childrens,77,588.0
young,77,588.0
highlighted,77,588.0
require,77,588.0
reviewed,77,588.0
ramon,77,588.0
provisions,77,588.0
delivery,77,588.0
rate,76,596.0
higher,76,596.0
consideration,76,596.0
growth,76,596.0
grading,76,596.0
understanding,76,596.0
assigned,76,596.0
since,76,596.0
life,75,604.0
enter,75,604.0
important,75,604.0
heritage,75,604.0
stakeholders,75,604.0
revision,75,604.0
century,75,604.0
graduate,75,604.0
less,74,612.0
provides,74,612.0
ab,74,612.0
economic,74,612.0
culture,74,612.0
claims,74,612.0
model,74,612.0
negotiations,73,619.0
behavior,73,619.0
exhibit,73,619.0
charters,73,619.0
set,73,619.0
expulsions,73,619.0
given,73,619.0
learn,73,619.0
increased,73,619.0
participate,72,628.0
positions,72,628.0
name,72,628.0
sexual,72,628.0
ensuring,72,628.0
citizens,72,628.0
concerns,72,628.0
manager,72,628.0
using,72,628.0
amendments,72,628.0
cost,72,628.0
equitable,71,639.0
spoke,71,639.0
last,71,639.0
recent,71,639.0
save,71,639.0
brown,71,639.0
coalition,70,645.0
latino,70,645.0
issued,70,645.0
innovation,70,645.0
disabilities,70,645.0
could,70,645.0
title,70,645.0
systems,70,645.0
measures,70,645.0
nos,70,645.0
summer,70,645.0
leaders,70,645.0
fully,69,657.0
shown,69,657.0
greater,69,657.0
america,69,657.0
proposal,69,657.0
pursuant,69,657.0
improving,69,657.0
world,69,657.0
common,69,657.0
multiple,69,657.0
importance,68,667.0
designated,68,667.0
thanked,68,667.0
transparency,68,667.0
individual,68,667.0
assistant,68,667.0
interim,68,667.0
accepted,67,674.0
taking,67,674.0
described,67,674.0
staffing,67,674.0
administration,67,674.0
homeless,67,674.0
partnership,67,674.0
beginning,67,674.0
task,67,674.0
denial,66,683.0
immigration,66,683.0
direct,66,683.0
challenges,66,683.0
campus,66,683.0
primary,66,683.0
green,66,683.0
former,66,683.0
rule,66,683.0
boards,65,692.0
west,65,692.0
mark,65,692.0
brief,65,692.0
childhood,65,692.0
among,65,692.0
expelled,65,692.0
agencies,65,692.0
parental,65,692.0
boc,65,692.0
justice,64,702.0
risk,64,702.0
effort,64,702.0
priority,64,702.0
governor,64,702.0
jose,64,702.0
compliance,64,702.0
benefit,64,702.0
activities,64,702.0
nonroutine,64,702.0
identify,64,702.0
lead,63,713.0
lease,63,713.0
enforcement,63,713.0
andor,63,713.0
suspension,62,717.0
mission,62,717.0
outcomes,62,717.0
role,62,717.0
ii,62,717.0
transformation,62,717.0
camino,61,723.0
possible,61,723.0
warrants,61,723.0
filing,61,723.0
ready,61,723.0
pilot,61,723.0
decision,61,723.0
balance,61,723.0
recognizes,60,731.0
establish,60,731.0
traditional,60,731.0
low,60,731.0
groups,60,731.0
right,60,731.0
jackie,60,731.0
colegutierrez,60,731.0
representing,60,731.0
failed,60,731.0
qualified,60,731.0
representatives,60,731.0
economy,60,731.0
implemented,60,731.0
adopt,60,731.0
senate,59,746.0
bell,59,746.0
schedule,59,746.0
behalf,59,746.0
recommendation,59,746.0
maintenance,59,746.0
passage,59,746.0
appointed,59,746.0
african,59,746.0
clear,59,746.0
comments,59,746.0
average,59,746.0
significant,59,746.0
various,58,759.0
become,58,759.0
responsibility,58,759.0
outside,58,759.0
key,58,759.0
holmquist,58,759.0
amount,58,759.0
branch,58,759.0
franklin,58,759.0
maintain,58,759.0
officers,57,769.0
university,57,769.0
define,57,769.0
amend,57,769.0
submitted,57,769.0
modernization,57,769.0
proficiency,57,769.0
physical,57,769.0
technical,57,769.0
agreements,57,769.0
friendly,57,769.0
collaboration,56,780.0
memory,56,780.0
past,56,780.0
assessments,56,780.0
reduced,56,780.0
classes,56,780.0
design,56,780.0
linked,56,780.0
robert,56,780.0
add,56,780.0
criteria,56,780.0
legislative,56,780.0
ability,55,792.0
partnerships,55,792.0
black,55,792.0
financing,55,792.0
cases,55,792.0
framework,55,792.0
free,55,792.0
application,55,792.0
times,55,792.0
dating,55,792.0
summary,55,792.0
assembly,55,792.0
deficit,55,792.0
nomination,55,792.0
campaign,54,806.0
parcel,54,806.0
finance,54,806.0
around,54,806.0
